service_code,language_code,service_name,service_description,remarks
SV-00001,eng,Securate,"Securate is a security checklist response proposal service.
We analyze the items of the security checklist based on the input of past answers to other companies (natural language processing by AI), and propose the contents of the security checklist for new customers.",
SV-00002,eng,UNVEIL,UNVEIL is a unique solution developed by Dentsu Institute that uses 3DCG technology to provide a realistic video experience that is almost indistinguishable from the real world.,
SV-00003,eng,SalesDX,"SalesDX distributes corporate prepaid cards to sales staff for use with expenses, and by eliminating the need for advance payment and troublesome application procedures for business trips, entertainment expenses, and local transportation expenses, it dramatically improves the efficiency of sales administration.",
SV-00004,eng,DIDaaS,"DIDaaS is a service that provides a new generation of cryptocurrency wallets based on distributed identities as a SaaS.
",
SV-00005,eng,DigitalFinance,"Digital Finance is a platform that digitizes and automates the functions required for finance (investment or financing, as well as fundraising, management, administration, distribution, etc.). It enables small-sum and asset-based finance, which was previously difficult due to cost.",
SV-00001,jpn,Securate,"Securateは、セキュリティチェックリストの回答案作成サービスです。
過去の他社回答の入力内容（AIによる自然言語処理）を基に、セキュリティチェックリストの項目を分析し、新規顧客向けのセキュリティチェックリストの内容を提案します。",
SV-00002,jpn,UNVEIL,UNVEILは、電通総研が開発した独自のソリューションで、3DCG技術により現実世界とほとんど見分けがつかないほどリアルな映像体験を提供します。,
SV-00003,jpn,営業DX,営業DXは、営業スタッフに経費精算用の法人向けプリペイドカードを配布し、出張費、交際費、現地交通費などの事前払いと煩雑な申請手続きを不要にすることで、営業事務の効率を飛躍的に向上させます。,
SV-00004,jpn,DIDaaS,DIDaaSは、分散IDに基づく次世代暗号通貨ウォレットをSaaSとして提供するサービスです。,
SV-00005,jpn,デジタルファイナンス,デジタルファイナンスは、ファイナンスに必要な機能（投資や融資、資金調達、管理、運営、分配など）をデジタル化し、自動化するプラットフォームです。これまでコストの面で困難だった少額融資や資産担保融資を可能にします。,
